Chapter	Word Count
1	749
2	2,820
3	4,430
4	1,963
5	3,810
6	2,710
7	3,436
8	5,207
9	2,679
10	2,906
11	5,617
12	3,179
13	1,192
14	2,350
15	3,832
16	3,528
17	4,430
18	1,431
19	4,102
20	2,621
21	3,761
22	4,723
23	2,759
24	4,353
25	5,337
26	5,496
27	5,173
28	3,453
29	7,607
30	6,740
31	4,367
32	4,898
33	4,896
34	4,777
35	5,266
36	7,892
37	6,128
38	6,114
39	7,625
40	5,308
41	7,801
42	8,609
43	7,222
44	6,486
45	8,548
46	5,332
47	8,058
48	7,982
49	7,297
50	6,406
51	9,755
52	8,075
53	7,787
54	6,350
55	5,461
56	8,127
57	6,853
58	8,690
59	8,329
60	6,665
61	8,773
62	8,061
63	7,126
64	8,296
65	5,162
66	3,136
67	5,809
68	5,921
69	5,986
70	9,358
71	8,986
72	6,291
73	1,672
74	7,864
75	9,224
76	6,711
77	8,334
78	7,873
79	9,626
80	8,276
81	10,086
82	8,776
83	9,920
84	8,967
85	9,851
86	10,208
87	8,548
88	4,219
89	9,272
90	9,968
91	10,676
92	10,994
93	11,464
94	9,625
95	10,048
96	10,629
97	10,637
98	9,479
99	11,007
100	9,726
101	5,526
102	11,046
103	6,916
104	10,614
105	10,534
106	9,223
107	11,224
108	8,421
109	9,520
110	11,909
111	9,759
112	10,925
113	11,132
114	11,231
115	12,577
116	10,309
117	9,118
118	11,948
119	11,594
120	9,023
121	10,799
122	9,622
123	11,735
124	13,489
125	10,467
126	10,667
127	12,917
128	13,960
129	11,067
130	10,832
131	13,252
132	12,514
133	9,135
134	13,153
135	10,711
136	10,794
137	11,624
138	9,755
139	13,194
140	11,051
141	10,952
142	13,118
143	11,363
144	11,011
145	9,346
146	10,777
147	9,771
148	10,696
149	13,915
150	10,263
151	10,899
152	9,874
153	11,699
154	12,513
155	11,200
156	11,692
157	10,175
158	10,558
159	12,326
160	12,424
161	11,525
162	11,813
163	11,192
164	10,450
165	13,366
166	10,549
167	12,218
168	11,407
169	12,535
170	10,555
171	12,583
172	13,802
173	10,090
174	13,376
175	12,558
176	14,112
177	12,852
178	14,498
179	11,747
180	14,729
181	12,932
182	10,531
183	14,722
184	8,364
185	11,158
186	11,388
187	11,787
188	12,863
189	10,782
190	13,286
191	10,930
192	10,731
193	12,051
194	12,619
195	10,299
196	12,875
197	13,949
198	11,548
199	12,781
200	13,428
201	11,711
202	9,902
203	10,000
